url,collection_number,title,creator,date_range,extent,language_of_materials,repository,sponsor,abstract,physical_description,total_elements,total_items,total_digitised_items,total_searchable
http://nla.gov.au/nla.obj-1127491110/findingaid,M934,Journal of William Charles Wills (as filmed by the AJCP),"Wills, William Charles, 1807-1871",30 October 1841 - 13 January 1844,1 item,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020. The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,1,1,1,2
http://nla.gov.au/nla.obj-815327779/findingaid,M993 - M994,Journals and Letters of Reverend Robert H. Codrington (as filmed by the AJCP),"Codrington, Robert H., Reverend",1867 - 1882,8 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020.
The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,10,8,8,11
http://nla.gov.au/nla.obj-572611555/findingaid,MS 5521,Journals and correspondence of the Macandrew Family,,1824-1895,0.18 metres (6 folders),English,National Library of Australia,,,,6,6,2,1
http://nla.gov.au/nla.obj-234455886/findingaid,MS 7130,Journals of Alexander Weynton,Alexander Weynton,1841-1860,0.15 metres (3 volumes + 2 folders),English,NLA,,,,47,3,3,1
http://nla.gov.au/nla.obj-753735721/findingaid,M1580-M1582,Journals of Captain James Cook (as filmed by the AJCP),"Cook, James, Captain, 1728-1779",1770 - 1784,8 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020.
The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,8,8,8,9
http://nla.gov.au/nla.obj-742830078/findingaid,M717,Journals of Commander Henry Graham Dudley de Chair (as filmed by the AJCP),"de Chair, Henry Graham Dudley",1927 - 1931,2 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020.
The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,2,2,2,3
http://nla.gov.au/nla.obj-1127151453/findingaid,M708 - M712,Journals of General Surgeons (as filmed by the AJCP),Journals of General Surgeons,4 September 1848 - 31 December 1880,62 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020. The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,68,63,63,69
http://nla.gov.au/nla.obj-743145172/findingaid,M2014,Journals of Granville Stapylton (as filmed by the AJCP),"Stapylton, Granville William Chetwynd",1836 - 1838,5 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020.
The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,21,16,16,22
http://nla.gov.au/nla.obj-771847998/findingaid,M1677,Journals of James Mitchell (as filmed by the AJCP),"Mitchell, James",1820 - 1823,1 item,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020.
The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,1,1,1,2
http://nla.gov.au/nla.obj-743111819/findingaid,M980,Journals of Louis Hope (as filmed by the AJCP),"Hope, Louis, Hon.,",1843 - 1857,4 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020.
The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,4,4,4,5
http://nla.gov.au/nla.obj-1126161431/findingaid,M1918,Journals of Thomas Hodgkin (as filmed by the AJCP),"Hodgkin, Thomas, 1831-1913",22 January 1909 - January 1910,9 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020. The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,11,9,9,12
http://nla.gov.au/nla.obj-3142394811/findingaid,EPH GEN.Legacy,Legacy : ephemera material collected by the National Library of Australia,,Mixed dates,1 collection,English,Printed Collections,,,"Brochures, posters, pamphlets.",3,2,0,4
http://nla.gov.au/nla.obj-1137546743/findingaid,MS 18,Letter books of Thomas Tourle,"Tourle, Thomas",1839-1845,0.03 metres (4 folios),English,Special Collections (Manuscripts),,,,3,3,2,1
http://nla.gov.au/nla.obj-533829552/findingaid,MS 9017,Letter from Ann Collick to Eleanor Willoughby,"Collick, Ann",2 February 1855,0.03 metres (1 folder),English,Special Collections (Manuscripts),,,,1,1,1,1
http://nla.gov.au/nla.obj-557679852/findingaid,MS 4005,Letter from Bennelong to Mr Phillips,,29 August 1796,0.03 metres (1 volume in SB-000478),English,Special Collections (Manuscripts),,,,1,1,1,1
http://nla.gov.au/nla.obj-533649873/findingaid,MS 581,"Letter from Colonel Samuel W. Blackhall to Richard Grenville, the Duke of Buckingham","Blackhall, Samuel W.",20 March 1869,0.03 metres (1 folder),English,Special Collections (Manuscripts),,,,1,1,1,1
http://nla.gov.au/nla.obj-600551892/findingaid,MS 182,Letter from John Hawkesworth to Mr. Dodsley,"Hawkesworth, John",4 October 1768,0.03 metres (1 folder),English,Special Collections (Manuscripts),,,,2,2,2,1
http://nla.gov.au/nla.obj-518299843/findingaid,MS 688,Letter from Sir Phillip Stephens to Captain James Cook,"Stephens, Phillip, Sir",20 July 1776,0.03 metres (1 volume),English,NLA,,,,3,3,3,1
http://nla.gov.au/nla.obj-572144709/findingaid,MS 4216,Letter: to his father,,"May 31, 1836",0.12 metres (2 folders + 2 volumes),English,Special Collections (Manuscripts),,,,2,2,2,1
http://nla.gov.au/nla.obj-581616517/findingaid,MS 218,Letters,"Hampton, Thomas",1853-1880,0.03 metres (1 folder),English,National Library of Australia,,,,17,17,15,1
http://nla.gov.au/nla.obj-569871595/findingaid,MS 7,Letters and documents of Captain Cook,"Cook, James, Captain, 1728-1779",1771 - 1776,0.06 metres (1 folder + 1 volume),English,NLA,,,,7,7,7,1
http://nla.gov.au/nla.obj-415090332/findingaid,MS 8434,Letters and photographs of Patrick White,Patrick White,1944-1988,0.1 metres (various),English,NLA,,,,43,40,0,1
http://nla.gov.au/nla.obj-343027624/findingaid,MS 8642,Letters and poems of Kenneth MacKenzie,"Lindsay, Jane, 1920-1999",1940-1944,0.14 metres (1 box),English,National Library of Australia,,,,55,49,0,1
http://nla.gov.au/nla.obj-546002386/findingaid,MS 9110,"Letters concerning Robert Horace Walpole, Earl of Oxford",,1870 - 1874,0.03 metres (1 Folder),English,National Library of Australia,,,,15,14,13,1
http://nla.gov.au/nla.obj-600574602/findingaid,MS 332,Letters from John Hawkesworth to Dr. Burney,"Hawkesworth, John",c. 1771-c. 1773,0.03 metres (1 folder),English,Special Collections (Manuscripts),,,,5,5,5,1
http://nla.gov.au/nla.obj-3067992338/findingaid,MS 10616,Letters from Peter Ryan to Graeme Sligo,"Ryan, Peter, Mr",2008-2016,0.15 metres (1 MS box),English,Special Collections (Manuscripts),,,,25,21,0,1
http://nla.gov.au/nla.obj-583062397/findingaid,MS 4253,Letters from Richard Bowler of Brill,,1835-1843,0.09 metres (1 volume + 1 folder),English,National Library of Australia,,,,8,8,8,1
http://nla.gov.au/nla.obj-742810701/findingaid,"M407 - M409, M593, M718",Letters of Captain T.G.S. Ward (as filmed by the AJCP),,1821 - 1866,212 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) Online Portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020.
The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948-1997.",,,265,212,212,266
http://nla.gov.au/nla.obj-742794139/findingaid,M394,Letters of David A. Beath (as filmed by the AJCP),"Beath, David A.",1842 - 1853,3 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020. The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,3,3,3,4
http://nla.gov.au/nla.obj-740048721/findingaid,M436,Letters of David Atkinson and other New South Wales Settlers (as filmed by the AJCP),"Atkinson, David",1810 - 1862,10 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020.
The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,10,10,10,11
http://nla.gov.au/nla.obj-742824092/findingaid,M2065,Letters of David Watson (as filmed by the AJCP),"Watson, David Matthew",1852 - 1857,1 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020.
The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,1,1,1,2
http://nla.gov.au/nla.obj-742291256/findingaid,M411,Letters of Edward Arnold (as filmed by the AJCP),"Arnold, Edward",1841 - 1843,12 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020.
The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,13,13,13,14
http://nla.gov.au/nla.obj-742382117/findingaid,M392,Letters of Henry Thomas and Horatio Holyoake (as filmed by the AJCP),"Holyoake, Henry Thomas GovesHolyoake, HoratioHolyoake Family",1854 - 1885,6 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) Online Portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020.
The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,6,6,6,7
http://nla.gov.au/nla.obj-743324624/findingaid,M856,Letters of James Roberts (as filmed by the AJCP),"Roberts, James",1850 - 1852,5 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020.
The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,5,5,5,6
http://nla.gov.au/nla.obj-536511948/findingaid,MS 401,Letters of Jane and David Cannan,"Cannan, Jane DorotheaCannan, David",1853 - 1856,0.06 metres (1 folder + 1 packet),English,National Library of Australia,,,,22,22,22,1
http://nla.gov.au/nla.obj-742453432/findingaid,M384,Letters of John George Petingale (as filmed by the AJCP),"Petingale, John George",1834 - 1869,17 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) Online Portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020.
The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948-1997.",,,17,17,17,18
http://nla.gov.au/nla.obj-582729701/findingaid,MS 4199,Letters of Josiah Godber,"Nan Kivell, Rex, Sir",1817 - 1824,0.03 metres (1 volume + 1 folder),English,National Library of Australia,,,,8,8,8,1
http://nla.gov.au/nla.obj-1126182851/findingaid,M1954,Letters of Leopold James Maxse (as filmed by the AJCP),"Maxse, Leopold James",8 December 1887 - 17 December 1931,28 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020. The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,153,125,125,154
http://nla.gov.au/nla.obj-3141710940/findingaid,MS 10625,Letters of Les Murray to Ang Chin Geok,"Murray, LesAng Chin Geok",1993 - 2015,0.06 metres (2 folders),English,Special Collections (Manuscripts),,,,104,101,0,105
http://nla.gov.au/nla.obj-742361518/findingaid,M391,Letters of Reverend Thomas Fyshe Palmer (as filmed by the AJCP),"Palmer, Thomas Fyshe, Reverend",1794 - 1862,5 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020.
The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,6,5,5,11
http://nla.gov.au/nla.obj-561709165/findingaid,MS 210,Letters of Robert Salisbury,"Salisbury, Robert J.",29 December 1871,0.06 metres (2 folders),English,National Library of Australia,,,,2,2,2,1
http://nla.gov.au/nla.obj-836340617/findingaid,M1133,Letters of Robert Thomson (as filmed by the AJCP),"Thomson, Robert",1851 - 1854,45 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020. The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,45,45,45,46
http://nla.gov.au/nla.obj-241452996/findingaid,MS 9423,Letters of Rose Paterson,"Paterson, Rose",1873-1888,0.14 metres (2 security binders),English,NLA,,,,39,39,35,1
http://nla.gov.au/nla.obj-743091876/findingaid,M835,Letters of Sir Edmund Frederick Du Cane (as filmed by AJCP),"Du Cane, Edmund Frederick, Sir",1851 - 1856,16 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020.
The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,16,16,16,17
http://nla.gov.au/nla.obj-771851591/findingaid,M832,Letters of Thomas Mellard Reade (as filmed by the AJCP),"Reade, Thomas Mellard",1883 - 1906,16 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020.
The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,17,16,16,18
http://nla.gov.au/nla.obj-1127491358/findingaid,M1952,Letters of Walter Bently Woodbury (as filmed by the AJCP),"Woodbury, Walter Bentley",30 January 1852 - 1 September 1858,18 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020. The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,19,18,18,20
http://nla.gov.au/nla.obj-3119119692/findingaid,MS 10645,Letters of Wilfred Burchett to Sarah Boston,,1969 - 1970,0.03 metres (1 folder),English,Special Collections (Manuscripts),,,,9,8,0,10
http://nla.gov.au/nla.obj-299880400/findingaid,MS 264,Letters of William Henry Archer,William Henry Archer,1847-1866,0.03 metres (2 folders),English,Special Collections (Manuscripts),,,,51,50,50,1
http://nla.gov.au/nla.obj-554407871/findingaid,MS 1720,Letters of William Sandover,"Sandover, William G.",1876,0.03 metres (1 folder),English,Special Collections (Manuscripts),,,,11,11,11,1
http://nla.gov.au/nla.obj-770254335/findingaid,M865,Letters of the Cooperative Union Ltd (as filmed by the AJCP),Co-operative Union,1830 - 1905,74 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020.
The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,77,75,74,78
http://nla.gov.au/nla.obj-743292835/findingaid,M723,Letters of the Jeffcott and Kermode Families (as filmed by the AJCP),Jeffcott FamilyKermode Family,1831 - 1912,23 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020.
The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,28,22,22,29
http://nla.gov.au/nla.obj-557421589/findingaid,MS 676,Letters of the White Family written from Charters Towers,White Family,1874,0.03 metres (1 folder),English,National Library of Australia,,,,2,2,2,1
http://nla.gov.au/nla.obj-324823954/findingaid,MS 1825,Letters received by Walter Oscar Paul,"Paul, W. Oscar",1922-1943,0.05 metres (1 folder),English,National Library of Australia,This finding aid was created by the Manuscripts Branch of the National Library of Australia with the assistance of the Nora Heysen Bequest.,,,107,107,0,1
http://nla.gov.au/nla.obj-554554911/findingaid,MS 674,Letters relating to Australia,"Muirhead, Mary, Mrs.Adams, G. H.",27 December 1847 - 29 December 1849,0.03 metres (1 folder),English,National Library of Australia,,,,3,3,3,1
http://nla.gov.au/nla.obj-335263848/findingaid,MS 316,Letters to John Chapman,"Mill, John Stuart, 1806-1873",1861-1867,0.07 metres (1 security binder),English,National Library of Australia,,,,18,18,0,1
http://nla.gov.au/nla.obj-581681631/findingaid,MS 8138,Letters written by Francis Irvine of Sydney to his father Alexander Irvine Scotland.,"Irvine, Francis",1820-1821,0.03 metres (1 folder),English,National Library of Australia,,,,3,3,3,1
http://nla.gov.au/nla.obj-245768214/findingaid,MS 9749,Lists and indexes of the Western Pacific Archives,Western Pacific Archives,1857-1975,0.97 metres (7 boxes),English,Naitonal Library of Australia,,,,259,205,0,1
http://nla.gov.au/nla.obj-1126162432/findingaid,M2575,Log and diary of William Hodkinson (as filmed by the AJCP),"Hodkinson, William",26 June 1860 - 10 October 1860,1 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020. The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,1,1,1,2
http://nla.gov.au/nla.obj-517546116/findingaid,MS 4,"Log of the voyage of H.M.S. Dolphin to the South Seas, 1766-1767","Gore, John",1766-1767,0.6 metres (2 volumes),English,NLA,,,,2,2,2,1
http://nla.gov.au/nla.obj-742831091/findingaid,M834,Logbook of George Siddells (as filmed by the AJCP),"Siddells, George",1855 - 1856,1 item,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020.
The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,1,1,1,2
http://nla.gov.au/nla.obj-762028463/findingaid,M2013,Logbook of Robert Molineux (as filmed by the AJCP),"Molineux (Molyneux), Robert",1766 - 1768,1 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020.
The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,1,1,1,2
http://nla.gov.au/nla.obj-1126165596/findingaid,M1620-M1627,Logs held by the India Office Library (as filmed by the AJCP),India Office Library,22 July 1759 - 6 June 1827,35 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020. The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,42,38,38,43
http://nla.gov.au/nla.obj-3136536952/findingaid,"Ephemera (PROMPT).Lumsdaine, David (composer)","Lumsdaine, David (composer) : programs and related material collected by the National Library of Australia",,1991 - 2021,1 collection,English,Printed Collections,,,1 folder of programs and miscellaneous pieces,8,6,0,1
http://nla.gov.au/nla.obj-3144539567/findingaid,Ephemera (General).Manufacturing,Manufacturing : ephemera material collected by the National Library of Australia,,1930 - 2012,1 collection,English,Printed Collections,,,Folders of miscellaneous pieces.,20,18,0,1
http://nla.gov.au/nla.obj-689938676/findingaid,MST 4,Manuscript Collections relating to Sidney Nolan in the National Library of Australia,,1812 - 2014,49 collections,English,Special Collections (Manuscripts),This guide was made possible by the generous financial support of donors to the 2017 Tax Time Appeal. The Library gratefully acknowledges this support.,,,53,49,0,1
http://nla.gov.au/nla.obj-753593852/findingaid,M1557,Manuscript of Hernando Gallego (as filmed by the AJCP),"Gallego, Hernando",1567 - 1569,1 item,Spanish; Castilian,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020.
The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,1,1,1,2
http://nla.gov.au/nla.obj-742474919/findingaid,M399,Manuscript of Leslie James Wilmoth (as filmed by the AJCP),"Wilmoth, Leslie James",c.1950's,1 item 1 manuscript (120pp.),English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) Online Portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020.
The National Library of Australia gratefully acknowledges the contribution of the other Foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,1,1,1,2
http://nla.gov.au/nla.obj-770255728/findingaid,M1923,Manuscripts of Australian explorers of the Foreign and Commonwealth Office Library (as filmed by the AJCP),Foreign and Commonwealth Office Library,1813 - 1874,6 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020.
The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,6,6,6,7
http://nla.gov.au/nla.obj-753517250/findingaid,M1172,Manuscripts of Dorset Military Museum (as filmed by the AJCP),Dorset Military Museum,1830 - 1930,4 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020.
The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,4,4,4,5
http://nla.gov.au/nla.obj-727919594/findingaid,M1174 - M1175,Manuscripts of Professor C.R. Boxer (as filmed by the AJCP),,1569 - 1811,10 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) Online Portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020.
The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948-1997.",,,19,18,12,20
http://nla.gov.au/nla.obj-744521594/findingaid,MPG,Maps and Plans in the National Archives of the UK (as filmed by the AJCP),Maps and Plans. Great Britain.,1788 - 1858,8 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020. The National Library of Australia gratefully acknowledges the contributions of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,8,8,8,9
http://nla.gov.au/nla.obj-224107783/findingaid,MS 9915,Maroussia Richardson Collection,"Richardson, Maroussia",1933-1949,0.15 metres (1 ms box),English,National Library of Australia,,"Letters, photographs, newspaper cuttings, programs and other papers of Betty Frank primarily concerning the 1936-1937 tour of Australia and New Zealand by Colonel W. de Basil's Monte Carlo Russian Ballet.",,152,148,146,1
http://nla.gov.au/nla.obj-3117367644/findingaid,EPH PROG/INV.Masonic Lodge,Masonic Lodge : programs and invitations ephemera material collected by the National Library of Australia,,2022,1 collection,English,Printed Collections,,,Calendar,3,2,0,4
http://nla.gov.au/nla.obj-241525569/findingaid,MS 2282,Mauritius Collection,Andre de Chapuiset le Merle,1737-1969,2.31 metres (3 ms boxes + 2 archive boxes + 2 medium folio boxes + 1 large folio box),English,National Library of Australia,,,,68,67,7,1
http://nla.gov.au/nla.obj-3026154699/findingaid,MS Acc12.019,McArthur-Macpherson Family Papers,"Baillieu, Diana",1844 - 2009,9.8 metres (14 large folio boxes),English,Special Collections (Manuscripts),,,,815,814,0,1
http://nla.gov.au/nla.obj-201514812/findingaid,MS 4052,Medieval manuscripts and documents from the Nan Kivell Calligraphy Collection,,c10th century - mid-19th century,8 metres,LatinThe language of documents dating up to the mid 1600s is chiefly Latin. After this date English is most commonly used.,National Library of Australia,The digitisation of the Library’s holdings of medieval manuscripts was made possible by the generous financial support of donors to the Medieval Manuscripts Appeal (2014). The Library gratefully acknowledges this support.,,,204,201,200,1
